,Compounds,CT-179_Resist_vs_Sens_logFC,AveExpr,t,P.Value,adj.P.Val,B,CT-179_mRCC,Group_num,Combination_Index
1,taselisib,-0.033549752,2.68E-05,-22.30741179,9.92E-110,7.58E-109,238.3245401,-0.036726347,11,0.00123216
2,volasertib,-0.024666319,-0.03119613,-22.44418635,4.76E-111,3.80E-110,241.3564467,-0.047775727,5,0.001178451
3,PF.03758309,-0.030333147,-0.023557443,-21.95164814,2.46E-106,1.81E-105,230.5234807,-0.037340818,10,0.001132665
4,asenapine,-0.030804635,-0.038398517,-28.2528654,2.51E-174,4.24E-173,386.8209349,-0.032819274,19,0.001010986
5,valproic.acid,-0.029492585,-0.038268067,-31.11484914,1.16E-210,3.07E-209,470.392194,-0.033495512,17,0.000987869
6,sumatriptan,-0.035021579,-0.013319797,-40.28286095,0,0,789.9332626,-0.027358086,45,0.000958123
7,I.BET.762,-0.016483793,-0.042106294,-13.39565265,7.46E-41,2.12E-40,80.24447864,-0.051400237,4,0.000847271
8,Ro.4987655,-0.027021143,-0.033252688,-17.656166,1.44E-69,6.37E-69,146.0869058,-0.029116592,33,0.000786764
9,STA.5326,-0.024414945,-0.016591784,-15.86867167,1.41E-56,5.21E-56,116.2828078,-0.03059178,27,0.000746897
10,fluvoxamine,-0.03058292,-0.020536184,-36.81828174,4.40E-293,3.80E-291,659.9932927,-0.024326892,64,0.000743987
11,praziquantel,-0.03823658,-0.004912183,-40.28486652,0,0,790.0116737,-0.019387506,129,0.000741312
12,tacedinaline,-0.028571042,-0.026867203,-26.90619584,2.11E-158,3.32E-157,350.2031213,-0.025148191,55,0.00071851
13,PHA.848125,-0.018121615,-0.020367369,-12.86373199,8.19E-38,2.22E-37,73.283362,-0.038297706,9,0.000694016
14,acexamic.acid,-0.020440224,-0.030433661,-27.69679406,1.17E-167,1.92E-166,371.4899585,-0.032869287,18,0.000671856
15,pitavastatin,-0.027809875,-0.005183666,-17.68809317,8.19E-70,3.64E-69,146.6478216,-0.0231896,72,0.0006449
16,indibulin,-0.017485328,-0.013420357,-17.24343061,1.90E-66,8.04E-66,138.9259152,-0.036268213,12,0.000634162
17,diazoxide,-0.028609652,-0.007381031,-32.19484725,2.98E-225,1.05E-223,503.9491648,-0.02168645,94,0.000620442
18,PHA.793887,-0.026032911,-0.016924074,-20.04398164,4.84E-89,2.82E-88,190.7968397,-0.023827775,70,0.000620306
19,apocynin,-0.025641152,-0.01434816,-29.30309271,2.88E-187,5.68E-186,416.5820828,-0.024125493,67,0.000618605
20,ketoconazole,-0.019537056,-0.028507703,-22.93000319,8.45E-116,7.39E-115,252.2726158,-0.031629635,24,0.00061795
