entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0a4db6bb9eb2523e46d9c,IDH1_IDH2_00000,IDH1,CC(C#N)(CO)NC(=O)CSC(c1cccnc1)c1cccc(C(F)(F)F)c1,1.7,-8.87,409.43,111.31,2.84,No,Yes,0,0,3.85
69f0a4db6bb9eb2523e46d98,IDH1_IDH2_00000,IDH1,Cc1nccc(C(Oc2ccc(Br)cc2O)C(F)(F)F)c1C(=O)NC(=O)CCl,1.53,-8.24,481.65,88.52,3.47,No,No,0,1,3.1
69f0a4db6bb9eb2523e46d93,IDH1_IDH2_00000,IDH1,CC1=NC(Cl)=NC1(C#N)c1cccc(CBr)c1-c1cccc(CBr)c1I,1.35,-6.94,310.51,37.3,6.48,No,No,0,1,3.43
69f0a4db6bb9eb2523e46d79,IDH1_IDH2_00000,IDH1,O=C(CN(C(=O)OCCc1ccccc1)c1ccc(Cl)cc1)c1ccccc1F,1.3,-9.69,411.85,46.61,5.1,No,Yes,0,0,3
69f0a4db6bb9eb2523e46d94,IDH1_IDH2_00000,IDH1,CO[Si](Oc1ccc(C(=O)N2CC=CC2)cc1)c1ccco1,0.98,-7.38,314.39,51.91,1.73,Yes,No,0,2,3.89
69f0a4db6bb9eb2523e46d82,IDH1_IDH2_00000,IDH1,CC(C=O)(C(=O)c1cc(F)ccc1OCc1ccccc1)c1ccccc1,0.96,-9.7,362.39,43.37,4.48,Yes,Yes,0,2,3.3
69f0a4db6bb9eb2523e46d78,IDH1_IDH2_00000,IDH1,COC(=O)CCN(C)C1=C(NC2=NC(Cl)=N2)C1Br,0.89,-6.06,335.58,66.29,1.48,No,No,0,2,4.01
69f0a4db6bb9eb2523e46d8a,IDH1_IDH2_00000,IDH1,C=CCN(Cc1ccc(F)cc1)C(=O)O[C@H]1CCCNC1,0.68,-7.21,292.35,41.57,2.69,Yes,No,0,1,3.09
69f0a4db6bb9eb2523e46d9d,IDH1_IDH2_00000,IDH1,COC(=O)CCN(C)C1=C(Nc2cccc(Br)c2)C1Br,0.57,-6.67,404.1,41.57,2.98,Yes,No,0,1,3.67
69f0a4db6bb9eb2523e46d8b,IDH1_IDH2_00000,IDH1,CC(C)C#Cc1ccccc1OS(=O)(=O)Cl,0.56,-7.22,258.72,51.75,3.09,Yes,No,0,1,2.84
