entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0a5276bb9eb2523e46eaf,VEGF_VEGFR_00000,VEGF,COC(=NC1=CC(F)(F)C=C1)C(=O)N1CCC(NC(=O)C2CCC(Oc3ccccc3)CC2)C1,1.5,4.25,473.51,80.23,3.55,No,No,0,2,5.19
69f0a5276bb9eb2523e46eaa,VEGF_VEGFR_00000,VEGF,O=C(Nc1ccc(OC(F)(F)F)c(Cl)c1)Nc1cccs1,1.21,-3.89,336.72,78.6,3.87,No,No,0,0,2.46
69f0a5276bb9eb2523e46ead,VEGF_VEGFR_00000,VEGF,NC(=O)[C@@H]1Cc2ccccc21,0.84,-6.23,147.17,43.09,1.04,Yes,No,0,0,2.04
69f0a5276bb9eb2523e46eb6,VEGF_VEGFR_00000,VEGF,CC(C)(C)P(=O)(O)O,0.6,-4.39,138.1,67.34,-0.02,No,No,0,1,3.9
69f0a5276bb9eb2523e46ebb,VEGF_VEGFR_00000,VEGF,O=C(Nc1cccc(O)n1)c1ccccc1,0.56,-3.31,214.22,62.22,1.73,Yes,No,0,0,1.83
69f0a5276bb9eb2523e46eb4,VEGF_VEGFR_00000,VEGF,OB(O)c1ccccc1,0.52,,121.93,40.46,-0.05,No,No,0,1,1.54
69f0a5276bb9eb2523e46ea3,VEGF_VEGFR_00000,VEGF,COc1cccc(NC(=O)c2ncncc2Cl)c1F,0.49,27.36,281.67,64.11,2.18,Yes,No,0,0,2.13
69f0a5276bb9eb2523e46eae,VEGF_VEGFR_00000,VEGF,Cc1cc(-c2cc(N)ccc2Br)[nH]n1,0.45,-6.59,252.11,54.7,2.29,Yes,Yes,0,1,2.26
69f0a5276bb9eb2523e46eb9,VEGF_VEGFR_00000,VEGF,O=C(NCCc1ccc(Cl)c(O)c1Cl)NC(=O)c1ccccc1,0.38,-5.79,353.2,78.43,3.18,Yes,No,0,0,2.17
69f0a5276bb9eb2523e46ea9,VEGF_VEGFR_00000,VEGF,NC1=CN=C(Cl)C(c2ccccc2)=NO1,0.34,-7.03,221.64,59.97,1.68,Yes,No,0,0,3.35
69f0a5276bb9eb2523e46eac,VEGF_VEGFR_00000,VEGF,Nc1nc(C(=O)O)c(Nc2ccccc2)s1,0.3,-6.28,235.26,116.48,1.6,No,No,0,0,2.92
69f0a5276bb9eb2523e46ea6,VEGF_VEGFR_00000,VEGF,COCc1ccc(CNc2ncco2)cc1,0.29,-4.97,218.25,47.29,1.88,Yes,No,0,0,2.2
69f0a5276bb9eb2523e46ea1,VEGF_VEGFR_00000,VEGF,C=CCc1ccccc1-c1nc2nccc(OC(F)(F)F)n2n1,0.24,-8.18,320.27,52.31,3.54,Yes,No,0,1,2.91
69f0a5276bb9eb2523e46eb0,VEGF_VEGFR_00000,VEGF,CC1(S(=O)(=O)Cl)CCCC[C@H]1C(=O)Cl,0.11,-5.21,259.15,59.59,2.15,Yes,No,0,1,3.84
69f0a5276bb9eb2523e46e9c,VEGF_VEGFR_00000,VEGF,O=C(O)n1cc(/C=C/O)c2ccccc21,0.09,8.25,203.19,62.46,1.58,Yes,No,0,1,2.24
