entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0b4156bb9eb2523e4ad72,IDH1_IDH2_00000,IDH1,Cc1cc(C)n(-c2ccc(Cl)cc2[NH2+]c2cccnc2)c1N,1.27,-8.35,313.8,60.45,2.57,Yes,No,0,1,3.09
69f0b4156bb9eb2523e4ad70,IDH1_IDH2_00000,IDH1,Nc1nc(NCF)nc(-c2cccc(C(F)(F)F)c2)c1CBr,1.27,-8.1,379.15,63.83,3.64,Yes,No,0,2,2.8
69f0b4156bb9eb2523e4ad6e,IDH1_IDH2_00000,IDH1,CCOP(OC(C)(C)C)C(=O)Nc1ccc(-n2ccnc2)cc1,1.2,-6.71,335.34,78.97,2.61,No,Yes,0,1,3.56
69f0b4156bb9eb2523e4ad6d,IDH1_IDH2_00000,IDH1,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.67,-8.28,320.35,76.02,2.13,Yes,No,0,0,2.33
69f0b4156bb9eb2523e4ad61,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.64,-9.12,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0b4156bb9eb2523e4ad62,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.64,-9.02,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0b4156bb9eb2523e4ad6f,IDH1_IDH2_00000,IDH1,Cc1cc(C(F)(F)F)cn1Cc1cc(Br)cn1C(=O)N1CCCN([C@@H](C)C(=O)CCCCl)C(=O)CC1=O,0.34,-6.02,607.85,84.62,3.82,No,No,0,2,4.48
69f0b4156bb9eb2523e4ad68,IDH1_IDH2_00034,IDH1,Fc1ccc(NCC2=CC=NC(c3ccc(Cl)cc3)=NO2)c(I)c1,0.28,-8.38,455.65,45.98,4.61,Yes,No,0,1,3.76
69f0b4156bb9eb2523e4ad64,IDH1_IDH2_00000,IDH1,COCO,0.24,-2.44,62.07,29.46,-0.25,No,No,0,1,2.31
69f0b4156bb9eb2523e4ad63,IDH1_IDH2_00000,IDH1,Cc1cc(NC(=O)n2cc(Br)cc2C)c(Br)c(-c2ccccn2)n1,0.19,-8.6,450.13,59.81,3.83,Yes,No,0,0,3.06
69f0b4156bb9eb2523e4ad6c,IDH1_IDH2_00000,IDH1,COCCN1CCN(c2ccc(N)cc2)CCN1Cc1ccc(C#N)cc1COCCCNC1CCOCC1,0.19,-5.49,536.71,99.25,2.58,No,Yes,2,1,4.55
69f0b4156bb9eb2523e4ad6a,IDH1_IDH2_00040,IDH1,Cc1cc(NC(=O)n2cc(Br)cc2C)cc(-c2ccccn2)n1,-0.19,,,,,,,,,
69f0b4156bb9eb2523e4ad67,IDH1_IDH2_00030,IDH1,COc1ccc(Br)cc1NCCCN1CCCCC1C(=O)Nc1cc(C)nc(-c2ccccn2)c1,-0.23,,,,,,,,,
69f0b4156bb9eb2523e4ad69,IDH1_IDH2_00035,IDH1,Cc1cc(NC(=O)c2cc(-n3ccnc3)ccc2N)cc(-c2ccccn2)n1,-0.26,,,,,,,,,
69f0b4156bb9eb2523e4ad6b,IDH1_IDH2_00042,IDH1,COc1ccc(B(O)OC(C)(C)C(C)(C)O)cc1,-0.4,,,,,,,,,
69f0b4156bb9eb2523e4ad66,IDH1_IDH2_00000,IDH1,COc1cc(Cl)c(N)n1NCc1ccc(F)cc1,-0.45,,,,,,,,,
69f0b4156bb9eb2523e4ad73,IDH1_IDH2_00000,IDH1,CC(C#Cc1ccnc(N)n1)(CO)c1ccc(O)cc1,-0.82,,,,,,,,,
69f0b4156bb9eb2523e4ad71,IDH1_IDH2_00000,IDH1,CC(C)(C)OC(=O)NC1CCC(O)CC1,-0.95,,,,,,,,,
69f0b4156bb9eb2523e4ad65,IDH1_IDH2_00000,IDH1,N#Cc1cc(Cl)c(N)n1NCc1ccc(F)cc1,-0.97,,,,,,,,,
