entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0b5592a818019f001b076,VEGF_VEGFR_00000,VEGF,Cc1cc(NC(=O)c2cc(I)ccc2C)cc(-c2ccccn2)n1,0.67,-6.39,429.25,54.88,3.83,Yes,No,0,1,2.72
69f0b5592a818019f001b069,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.61,-7.95,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0b5592a818019f001b073,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.6,4.52,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0b5592a818019f001b079,VEGF_VEGFR_00001,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.58,-5.35,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0b5592a818019f001b075,VEGF_VEGFR_00000,VEGF,Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.42,-7.48,278.31,72.94,1.97,Yes,No,0,1,1.99
69f0b5592a818019f001b06f,VEGF_VEGFR_00011,VEGF,Cc1ccc(-c2n[nH]c3ccnc-3n2)cc1I,0.21,0.28,336.13,54.46,2.88,Yes,No,0,1,2.4
69f0b5592a818019f001b077,VEGF_VEGFR_00000,VEGF,CCOC(=O)NC1CCCCC1,0.13,-5.25,171.24,38.33,1.89,Yes,No,0,0,1.93
69f0b5592a818019f001b06a,VEGF_VEGFR_00000,VEGF,N#CCC(O)c1ccc(Br)cc1,0.09,-6.11,226.07,44.02,1.88,Yes,No,0,0,1.78
69f0b5592a818019f001b078,VEGF_VEGFR_00000,VEGF,Cc1cc(Br)cn1C(=O)Nc1ccc(-n2ccnc2)cc1C(=O)O,0.09,-5.22,389.2,89.15,2.36,No,No,0,0,2.65
69f0b5592a818019f001b07a,VEGF_VEGFR_00000,VEGF,Cc1cc(Br)cn1C(=O)Nc1ccc(-n2ccnc2)cc1C(=O)O,0.05,-3.68,389.2,89.15,2.36,No,No,0,0,2.65
69f0b5592a818019f001b06b,VEGF_VEGFR_00003,VEGF,CNCOCCN(CCO)c1ccc(Br)cc1Nc1ccc(-n2ccnc2)cc1,-0.14,,,,,,,,,
69f0b5592a818019f001b074,VEGF_VEGFR_00000,VEGF,O=CNc1ccccc1C(=O)OCCl,-0.31,,,,,,,,,
69f0b5592a818019f001b06d,VEGF_VEGFR_00006,VEGF,CCO[PH](=O)CCC(=O)Nc1cc(Cl)nc(-c2cccs2)c1OC(C)(C)C,-0.35,,,,,,,,,
69f0b5592a818019f001b06e,VEGF_VEGFR_00009,VEGF,CCOC(=O)CNC(=O)c1cc(C#N)ccc1Cl,-0.68,,,,,,,,,
69f0b5592a818019f001b06c,VEGF_VEGFR_00005,VEGF,Cc1ccc(S(=O)(=O)NC(C)C#N)cn1,-0.79,,,,,,,,,
69f0b5592a818019f001b071,VEGF_VEGFR_00017,VEGF,CC(=O)[C@@H]1CN[C@H](Cc2ccccc2)C1=O,-0.86,,,,,,,,,
69f0b5592a818019f001b070,VEGF_VEGFR_00016,VEGF,Cc1cc(CBr)cn1NC(=O)[C@H](C)C(=O)OC(C)(C)C,-0.89,,,,,,,,,
69f0b5592a818019f001b072,VEGF_VEGFR_00019,VEGF,COCCNC(=O)OC(=O)CN1CCN(c2ccccc2)CC1,-1.62,,,,,,,,,
