entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0bd569610ec4333d73110,EGFR_00000,EGFR,CC(=O)NC(=O)OC(C)(C)C,1.57,-4.15,159.18,55.4,0.81,Yes,No,0,0,1.82
69f0bd569610ec4333d7310e,EGFR_00000,EGFR,CN1CCC(NC(=O)OC(C)(C)Br)CC1,0.89,185.33,279.17,41.57,1.74,Yes,No,0,1,2.57
69f0bd569610ec4333d7311a,EGFR_00000,EGFR,CO[Sn+4]c1ccc(O)nc1Br,0.71,,322.72,42.35,0.7,Yes,No,0,1,2.81
69f0bd569610ec4333d73119,EGFR_00000,EGFR,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.53,-6.36,320.35,76.02,2.13,Yes,No,0,0,2.33
69f0bd569610ec4333d73118,EGFR_00000,EGFR,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.52,-6.61,320.35,76.02,2.13,Yes,No,0,0,2.33
69f0bd569610ec4333d7311b,EGFR_00000,EGFR,O=C/C=C/NN=Cc1ccc(Br)cc1Br,0.47,-5.19,331.99,41.46,2.94,Yes,No,0,3,2.7
69f0bd569610ec4333d73115,EGFR_00000,EGFR,CCN(CCO)c1cncn1-c1ccc(Cl)cc1,0.31,-5.3,265.74,41.29,2.23,Yes,No,0,0,2.36
69f0bd569610ec4333d73112,EGFR_00000,EGFR,COC1=CC=CC(Br)=NC(N)=N1,0.23,-4.67,230.06,59.97,1.29,No,No,0,0,3.87
69f0bd569610ec4333d7311c,EGFR_00000,EGFR,OCC(O)CN1CCC(NC2CCCCC2)CC1,-0.36,,,,,,,,,
69f0bd569610ec4333d73116,EGFR_00000,EGFR,CCO[PH](=O)NC(=S)Cc1cc(Br)ccc1Cl,-0.85,,,,,,,,,
69f0bd569610ec4333d73114,EGFR_00000,EGFR,CCc1cc(Br)c(Nc2cc(C)nc(-c3ccccn3)c2)c(Cl)n1,-0.94,,,,,,,,,
69f0bd569610ec4333d73117,EGFR_00000,EGFR,COc1ccc(Br)cc1C(=O)Nc1cc(C)nc(-c2ccccn2)c1,-1.17,,,,,,,,,
69f0bd569610ec4333d73113,EGFR_00000,EGFR,CB(O)c1ccc(B(O)c2cc(C)nc(-c3ccccn3)c2)cc1C,-1.22,,,,,,,,,
69f0bd569610ec4333d7310c,EGFR_00000,EGFR,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,-1.42,,,,,,,,,
69f0bd569610ec4333d7310d,EGFR_00000,EGFR,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,-1.42,,,,,,,,,
69f0bd569610ec4333d73111,EGFR_00000,EGFR,CCO[PH](=O)[C@@H]1CN(c2cc(Br)ccc2F)C[C@@H](OC)[C@@H]1CO,-1.49,,,,,,,,,
69f0bd569610ec4333d7310f,EGFR_00000,EGFR,Cc1cc(Br)cn1Cc1cc(NCCNC2CCCCC2)no1,-1.79,,,,,,,,,
