entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0be306bb9eb2523e4b840,IDH1_IDH2_00000,IDH1,CCOC(=O)NC(=O)N(CC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,1.77,-6.8,346.38,111.24,2.11,No,No,0,1,3.31
69f0be306bb9eb2523e4b83c,IDH1_IDH2_00000,IDH1,COc1ccc(Br)cc1C(=O)Nc1cc(C)nc(-c2ccccn2)c1C(=O)Nc1ccccc1,1.54,-6.42,517.37,93.21,4.16,No,No,0,0,3.45
69f0be306bb9eb2523e4b83a,IDH1_IDH2_00000,IDH1,CONc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.92,-8.07,308.33,68.18,2.33,Yes,No,0,1,2.58
69f0be306bb9eb2523e4b836,IDH1_IDH2_00038,IDH1,CCCC(CC#Cc1ccccc1)Sc1ccnc(N)n1,0.63,-7.99,297.42,77.1,3.68,Yes,No,0,1,3.73
69f0be306bb9eb2523e4b82f,IDH1_IDH2_00000,IDH1,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.63,-8.28,320.35,76.02,2.13,Yes,No,0,0,2.33
69f0be306bb9eb2523e4b82d,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.59,-6.82,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be306bb9eb2523e4b838,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.59,-9.08,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be306bb9eb2523e4b82c,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.59,-8.92,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be306bb9eb2523e4b837,IDH1_IDH2_00041,IDH1,COCOCOCCCN1CCN(C(=O)OC(C)(C)C)C1,0.23,-5.98,304.38,60.47,1.39,No,Yes,0,1,3.19
69f0be306bb9eb2523e4b83e,IDH1_IDH2_00000,IDH1,CCCCCCCCCCCCCCCC/C=C/C(N)=O,0.13,-6.37,295.5,43.09,5.77,Yes,No,0,1,3.4
69f0be306bb9eb2523e4b832,IDH1_IDH2_00029,IDH1,N#Cc1cc(F)ccc1CNCCOCOCN,-0.08,,,,,,,,,
69f0be306bb9eb2523e4b839,IDH1_IDH2_00042,IDH1,CCOC(=O)NC(=O)[C@H]1CC[C@@H](C)CN1,-0.25,,,,,,,,,
69f0be306bb9eb2523e4b83d,IDH1_IDH2_00000,IDH1,Cc1cc(NC(=O)n2cc(Br)cc2C)cc(-c2ccccn2)n1,-0.31,,,,,,,,,
69f0be306bb9eb2523e4b833,IDH1_IDH2_00032,IDH1,NCc1cc(Br)nc(NCc2ccc(Cl)cc2)n1,-0.34,,,,,,,,,
69f0be306bb9eb2523e4b835,IDH1_IDH2_00036,IDH1,Cc1ccnc(NCc2ccc(OC(F)(F)F)cc2)n1,-0.37,,,,,,,,,
69f0be306bb9eb2523e4b834,IDH1_IDH2_00033,IDH1,N#Cc1cc(Br)nc(NCc2ccc(Cl)cc2)n1,-0.43,,,,,,,,,
69f0be306bb9eb2523e4b83b,IDH1_IDH2_00000,IDH1,Nc1cc(CO)nc(-c2ccccc2)n1,-0.48,,,,,,,,,
69f0be306bb9eb2523e4b831,IDH1_IDH2_00028,IDH1,CC1=CC(N)=Nc2ccc(Br)cc2NC(=O)OCC1,-0.5,,,,,,,,,
69f0be306bb9eb2523e4b82e,IDH1_IDH2_00000,IDH1,Cc1nc(C#N)cc(Nc2cccc(O)c2)n1,-0.6,,,,,,,,,
69f0be306bb9eb2523e4b83f,IDH1_IDH2_00000,IDH1,COC(=O)/C=C/C(=O)Nc1ccc(Br)cc1,-0.94,,,,,,,,,
69f0be306bb9eb2523e4b830,IDH1_IDH2_00025,IDH1,CC1=CC(Cl)=NC(NC(=O)OCc2ccccc2)=NO1,-1.5,,,,,,,,,
