entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f0be992a818019f001f42e,VEGF_VEGFR_00000,VEGF,CC1=CC=NC(c2ccc(Cl)cc2)=CN1C(=O)Nc1ccccc1CC1=CC=NC(c2ccc(Cl)cc2)=CN1C(=O)Nc1ccccc1,1.43,-0.68,673.59,89.4,5.94,No,No,0,0,5.24
69f0be992a818019f001f432,VEGF_VEGFR_00000,VEGF,Cc1cc(Nc2nc(N(C)c3cccc(Cl)c3)n[nH]2)ccc1Cl,0.72,2.46,348.23,56.84,4.04,Yes,No,0,0,2.57
69f0be992a818019f001f436,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.61,5.21,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be992a818019f001f435,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.61,-3.76,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be992a818019f001f434,VEGF_VEGFR_00013,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.6,1.62,341.77,54.88,4.09,Yes,No,0,0,2.46
69f0be992a818019f001f437,VEGF_VEGFR_00007,VEGF,COC1=CC=C(C(=O)Nc2cc(C)nc(-c3ccccn3)c2)CC1,0.57,-4.97,321.37,64.11,2.65,Yes,No,0,0,3.28
69f0be992a818019f001f438,VEGF_VEGFR_00010,VEGF,COc1ccc(Br)cc1C(=O)Nc1cc(C)nc(-c2ccccn2)c1C(=O)Nc1ccccc1,0.23,-1.86,517.37,93.21,4.16,No,No,0,0,3.45
69f0be992a818019f001f433,VEGF_VEGFR_00000,VEGF,CB(Br)OC(=O)Cl,0.15,,185.21,26.3,1.05,Yes,No,0,2,2.27
69f0be992a818019f001f42f,VEGF_VEGFR_00000,VEGF,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,-0.3,,320.35,76.02,2.13,Yes,No,0,0,2.33
69f0be992a818019f001f431,VEGF_VEGFR_00000,VEGF,COc1ccc(C(C)=O)c(Br)c1N=C(C(=O)Oc1ccccc1)c1cccnc1,-0.35,,453.29,77.85,3.93,No,No,0,2,3.4
69f0be992a818019f001f430,VEGF_VEGFR_00011,VEGF,COC(=O)NC(=O)C1CCC(N2CCCC2)CC1,-1.17,,254.33,58.64,1.39,Yes,No,0,0,3.05
