entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f102632a818019f0028cfa,EGFR_00000,EGFR,Cc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1Cc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,1.14,-8.57,552.63,93.84,4.52,No,No,0,0,3.65
69f102632a818019f0028cf9,EGFR_00000,EGFR,COC(C)(C)NC1CCC(Nc2ccc(Cl)cc2)CC1COC(C)(C)NC1CCC(Nc2ccc(Cl)cc2)CC1,0.88,-7.53,591.66,66.58,6.2,No,Yes,0,1,5.74
69f102632a818019f0028cfe,EGFR_00000,EGFR,COCCNc1cc(Br)ccc2[nH]c-2ccccc1C(=O)OCCBr,0.47,-5.97,472.17,69.5,3.97,Yes,No,0,1,3.38
69f102632a818019f0028d03,EGFR_00000,EGFR,CNCC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.44,-6.23,349.39,88.05,1.7,No,Yes,0,0,2.58
69f102632a818019f0028cf3,EGFR_00000,EGFR,CC(C)(C)OC(=O)NC(=O)C1CCCCC1,0.3,-5.38,227.3,55.4,2.22,Yes,No,0,0,2.32
69f102632a818019f0028d00,EGFR_00000,EGFR,O=C(NC1CCCOC1)C1CCOCC1,0.27,-5.57,213.27,47.56,1.01,Yes,Yes,0,0,2.57
69f102632a818019f0028d02,EGFR_00000,EGFR,CCCCNC(=O)OCCCN1CCCC1,0.13,-5,228.33,41.57,2.05,Yes,No,0,0,2.57
69f102632a818019f0028cf7,EGFR_00000,EGFR,COc1ccccc1,0.09,42.16,108.14,9.23,1.88,Yes,No,0,0,1
69f102632a818019f0028cfd,EGFR_00000,EGFR,CCNOCNOCOCCNOC,0.08,-3.64,209.24,73.01,0.03,No,No,0,2,3.68
69f102632a818019f0028cf2,EGFR_00000,EGFR,CON=C(CC(C)(C)OC(=O)NC1CCC(C(C)=O)CC1)NCc1ccc(C(C)=O)cc1,-0.09,,,,,,,,,
69f102632a818019f0028d01,EGFR_00000,EGFR,Cc1cc(NC(=O)n2cc(Br)cc2C)c(C(=O)OCCl)c(-c2ccccn2)n1,-0.27,,,,,,,,,
69f102632a818019f0028cef,EGFR_00000,EGFR,CCOCc1cc(Br)cn1C(=O)Nc1ccc(Br)cn1,-0.36,,,,,,,,,
69f102632a818019f0028cf6,EGFR_00000,EGFR,Cc1cc(Br)cn1CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,-0.42,,,,,,,,,
69f102632a818019f0028cf5,EGFR_00000,EGFR,CCCC(CC)Sc1nc(N)n(-c2ccccc2)n1,-0.46,,,,,,,,,
69f102632a818019f0028d06,EGFR_00000,EGFR,CCOPCCCNC(=O)OC(=O)C(C)(C)C,-0.52,,,,,,,,,
69f102632a818019f0028d05,EGFR_00000,EGFR,CCOC(=O)NC(=O)CCOCCCN1CCC(Nc2ccccc2)CC1,-0.62,,,,,,,,,
69f102632a818019f0028cf8,EGFR_00000,EGFR,N#Cc1ccccc1NC(=O)c1c(F)cc(N)n1-c1ccc(F)cc1,-0.66,,,,,,,,,
69f102632a818019f0028cff,EGFR_00000,EGFR,C[Si](C)(C#Cc1ccncn1)OC(=O)[O-],-0.74,,,,,,,,,
69f102632a818019f0028cfb,EGFR_00000,EGFR,NCc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,-0.82,,,,,,,,,
69f102632a818019f0028cf4,EGFR_00000,EGFR,Cc1cc(Br)cc(N[C@H](NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)n1,-0.83,,,,,,,,,
69f102632a818019f0028cf0,EGFR_00000,EGFR,Cc1cc(Br)nc(-c2ccc(S(=O)(=O)O)cc2)c1C(=O)O,-0.85,,,,,,,,,
69f102632a818019f0028cfc,EGFR_00000,EGFR,Cc1ccn(-c2cnnc(NCC(O)c3ccccc3)c2)c1,-1.19,,,,,,,,,
69f102632a818019f0028d07,EGFR_00000,EGFR,CCCCCCCCCCCCCCCC(CCl)c1ccnc(N)n1,-1.27,,,,,,,,,
69f102632a818019f0028d04,EGFR_00000,EGFR,CC(=O)C1=CC=C(NC(=O)OC(C)(C)C)S2=CC=C(O)C=C2C1=O,-1.38,,,,,,,,,
69f102632a818019f0028cee,EGFR_00000,EGFR,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,-1.41,,,,,,,,,
69f102632a818019f0028ced,EGFR_00000,EGFR,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,-1.42,,,,,,,,,
69f102632a818019f0028cf1,EGFR_00000,EGFR,Cc1ccc(NC2CCN(c3c[nH]cn3)CC2)c(Br)c1I,-1.45,,,,,,,,,
