entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f103396bb9eb2523e510cb,IDH1_IDH2_00000,IDH1,Cc1ccc([PH](C)CBr)cc1C(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,1.52,-5.82,536.38,89.61,4.5,No,Yes,0,2,4.13
69f103396bb9eb2523e510bc,IDH1_IDH2_00000,IDH1,CONc1ccc(-c2ccc(Cl)cc2)n1COCc1ccc(Oc2ccccn2)cc1,1.41,,435.9,57.54,4.64,No,Yes,0,1,3.68
69f103396bb9eb2523e510cd,IDH1_IDH2_00000,IDH1,Cc1cc(NC(=O)Cn2cc(Br)cc2C)c(C(=O)Nc2ccccc2)c(-c2ccccn2)n1,1.24,-4.51,504.38,88.91,3.71,No,No,0,0,3.58
69f103396bb9eb2523e510bf,IDH1_IDH2_00000,IDH1,COc1ccc(Br)cc1C(=O)Nc1cc(C)nc(-c2ccccn2)c1C#CCl,1.16,-3.38,456.72,64.11,4.32,Yes,No,0,1,3.18
69f103396bb9eb2523e510c1,IDH1_IDH2_00000,IDH1,CNCCO[C@@H](NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,1.05,-6.32,304.38,85.89,1.61,No,No,0,2,3.8
69f103396bb9eb2523e510c4,IDH1_IDH2_00000,IDH1,Cc1cc(Br)cn1C(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.97,-9.96,464.31,80.95,3.46,No,No,0,0,3.11
69f103396bb9eb2523e510bb,IDH1_IDH2_00000,IDH1,CCOC(=O)[C@H](Cc1ccnc2cc(-c3ccc(O)cc3)cn12)NC(=O)O,0.87,-8.15,369.37,113.16,2.01,No,No,0,0,3.32
69f103396bb9eb2523e510c8,IDH1_IDH2_00000,IDH1,CONc1ccc(-n2cccn2)cc1C(=O)Nc1ccccc1,0.82,-7.91,308.33,68.18,2.49,Yes,No,0,1,2.56
69f103396bb9eb2523e510c3,IDH1_IDH2_00000,IDH1,CC[NH+]Cc1cc(Br)nc(-c2ccc(Cl)cc2)n1,0.7,-6.85,326.62,30.22,1.55,Yes,Yes,0,0,2.57
69f103396bb9eb2523e510c7,IDH1_IDH2_00000,IDH1,CCN(C)CC(O)C1=CC(Br)=S1NCC1CCCC1C1CN(C)CC1COC,0.65,-6.96,476.51,67.18,2.15,Yes,Yes,0,1,6.24
69f103396bb9eb2523e510c6,IDH1_IDH2_00000,IDH1,CC[NH+](CC)CC,0.59,-3.31,102.2,4.44,0.45,No,No,0,0,1
69f103396bb9eb2523e510bd,IDH1_IDH2_00000,IDH1,O=C([O-])OC(Cl)(Cl)OC(Cl)(Cl)Cl,0.47,-4.97,277.29,58.59,2.02,Yes,No,0,2,2.75
69f103396bb9eb2523e510b9,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.47,-9.07,341.77,54.88,4.09,Yes,No,0,0,2.46
69f103396bb9eb2523e510ba,IDH1_IDH2_00000,IDH1,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.45,-9.14,341.77,54.88,4.09,Yes,No,0,0,2.46
69f103396bb9eb2523e510c5,IDH1_IDH2_00000,IDH1,NC[C@H](Cc1cccs1)C(=O)OCC1CCCC1,0.25,-6.54,267.39,80.56,2.82,No,No,0,0,3.21
69f103396bb9eb2523e510c0,IDH1_IDH2_00000,IDH1,Cc1ccc(Oc2cccc(S(N)(=O)=O)c2)cc1,0.01,-7.36,263.31,77.77,2.21,Yes,No,0,0,2.51
69f103396bb9eb2523e510cc,IDH1_IDH2_00000,IDH1,NC(=O)C(=O)c1ccc(Br)cc1,-0.25,,,,,,,,,
69f103396bb9eb2523e510c9,IDH1_IDH2_00000,IDH1,N#Cc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1Br,-0.25,,,,,,,,,
69f103396bb9eb2523e510be,IDH1_IDH2_00000,IDH1,Cc1cc(B(O)O)cn1C(=O)OCCBr,-0.53,,,,,,,,,
69f103396bb9eb2523e510ca,IDH1_IDH2_00000,IDH1,CC(=O)[C@H]1CCCC[C@@H](CBr)CN1CO,-0.76,,,,,,,,,
69f103396bb9eb2523e510c2,IDH1_IDH2_00000,IDH1,O=C(Nc1ccccc1)c1cc(-n2ccnc2)ccc1F,-0.98,,,,,,,,,
