entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f103d42a818019f0028d10,VEGF_VEGFR_00000,VEGF,Cc1ccc(NCCc2ccc(F)cc2)cc1C(=O)Nc1ccccc1,1.52,0.5,348.41,41.13,4.69,Yes,Yes,0,0,2.41
69f103d42a818019f0028d13,VEGF_VEGFR_00000,VEGF,CCCC(CC)Sc1ccc(NCCNCc2ccc(O)cc2)cc1,1.34,-7.19,358.54,69.59,4.58,No,Yes,0,0,3.24
69f103d42a818019f0028d15,VEGF_VEGFR_00000,VEGF,Cc1cc(NC(=O)C(=O)Nc2ccc(Cl)cc2)cc(-c2ccccn2)n1,1.24,5.52,366.8,83.98,2.7,No,No,0,1,2.63
69f103d42a818019f0028d11,VEGF_VEGFR_00000,VEGF,OCCOc1cccc(Nc2ccc(F)cc2)n1,0.75,-7.26,248.25,54.38,2.39,Yes,No,0,0,2.69
69f103d42a818019f0028d0f,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.6,1.5,341.77,54.88,4.09,Yes,No,0,0,2.46
69f103d42a818019f0028d0e,VEGF_VEGFR_00000,VEGF,Cc1cc(C(=O)Nc2ccc(F)cc2)nc(-c2ccc(Cl)cc2)n1,0.6,135.36,341.77,54.88,4.09,Yes,No,0,0,2.46
69f103d42a818019f0028d1d,VEGF_VEGFR_00000,VEGF,Oc1ccc(CCNc2cc(Cl)ccn2)cc1,0.53,-6.38,248.71,45.15,2.78,Yes,No,0,0,1.77
69f103d42a818019f0028d1b,VEGF_VEGFR_00000,VEGF,CO[Si](C)(C)C#Cc1cc(Br)cn1C(=O)Nc1cc(C)nc(-c2ccccn2)c1C(=O)O,0.36,0.49,513.42,106.34,3.05,No,No,0,2,4
69f103d42a818019f0028d18,VEGF_VEGFR_00000,VEGF,CCOC(=O)NC(=O)N[C@H]1CC[C@H](C(=O)Nc2ccccc2)NC1,0.26,-3.79,334.37,108.56,1.04,No,Yes,0,0,3.41
69f103d42a818019f0028d16,VEGF_VEGFR_00000,VEGF,CONc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,0.22,-5.62,308.33,68.18,2.33,Yes,No,0,1,2.58
69f103d42a818019f0028d1e,VEGF_VEGFR_00000,VEGF,Cc1cc(NC(=O)c2cc(Br)ccc2Cn2cc(Cl)cc2C)c(C(=O)OCCl)c(-c2ccccn2)n1,0.11,0.83,588.28,86.11,5.28,No,No,0,1,3.62
69f103d42a818019f0028d14,VEGF_VEGFR_00000,VEGF,Cc1cc(Br)nc(-c2ccc(C#N)cc2)n1,-0.01,,,,,,,,,
69f103d42a818019f0028d1c,VEGF_VEGFR_00000,VEGF,CC(N)[Sn](Br)C#N,-0.08,,,,,,,,,
69f103d42a818019f0028d1a,VEGF_VEGFR_00000,VEGF,CCOPCc1cc(Br)cc(N)n1,-0.11,,,,,,,,,
69f103d42a818019f0028d12,VEGF_VEGFR_00000,VEGF,CC(=O)Nc1ccc(-n2ccnc2)cc1C(=O)Nc1ccccc1,-0.3,,,,,,,,,
69f103d42a818019f0028d17,VEGF_VEGFR_00000,VEGF,CC1=C(c2cccs2)SC(NCCCN)=NC(Cl)=C1,-0.51,,,,,,,,,
69f103d42a818019f0028d1f,VEGF_VEGFR_00000,VEGF,CCOP(c1ccccc1Cl)[S+](=O)(=O)Cl,-0.63,,,,,,,,,
69f103d42a818019f0028d19,VEGF_VEGFR_00000,VEGF,CC(=O)[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc(Br)cc1,-0.89,,,,,,,,,
