entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69f14c682a818019f0033dc2,EGFR_00012,EGFR,CCC(=O)c1ccccc1NC(C)=O,1.26,-5.29,191.23,46.17,1.95,Yes,No,0,0,1.48
69f14c682a818019f0033dc9,EGFR_00001,EGFR,COC(=O)c1ccc(NC(C)=O)cc1,1.22,-4.64,193.2,55.4,1.52,Yes,No,0,0,1.2
69f14c682a818019f0033dd8,EGFR_00033,EGFR,COC(=O)c1cc(NC(C)=O)ccc1Cl,1.19,-5.31,227.64,55.4,2.08,Yes,No,0,0,1.71
69f14c682a818019f0033dea,EGFR_00004,EGFR,COC(=O)c1ccccc1NC(C)=O,1.09,0.14,193.2,55.4,1.53,Yes,No,0,0,1.51
69f14c682a818019f0033dd2,EGFR_00027,EGFR,CN(C(=O)O)c1ccccc1,0.86,-4.54,151.16,40.54,1.24,Yes,No,0,0,1.13
69f14c682a818019f0033de0,EGFR_00040,EGFR,O=C1NCCNC2=C(N1)C(=O)NC=CC=C2,0.84,-5.86,220.23,82.26,-0.63,No,No,0,0,3.68
69f14c682a818019f0033dd9,EGFR_00034,EGFR,CC1=CC=C(C(=O)CCn2cc(C)n2C2=CC(N)C(c3ccccc3)=C2)C=C2C=C1NCCN2,0.81,-7.81,453.58,77.01,2.8,Yes,Yes,0,0,5.88
69f14c682a818019f0033dc3,EGFR_00013,EGFR,CC(=O)Oc1ccccc1N,0.77,-4.35,151.16,52.32,1.17,Yes,No,0,2,1.37
69f14c682a818019f0033dde,EGFR_00039,EGFR,O=C1NCCNC2=C(N1)C(=O)SC=CC=C2,0.72,-5.46,237.28,95.53,0.2,No,No,0,1,3.68
69f14c682a818019f0033dc6,EGFR_00016,EGFR,CC(=O)N1CCCc2ccccc2C(=O)N(C)C1,0.69,-6.19,246.3,40.62,1.56,Yes,No,0,0,2.44
69f14c682a818019f0033dc0,EGFR_00010,EGFR,CC(=O)Nc1ccccc1C(=O)NCCN,0.67,-5.57,221.26,84.22,0.66,No,No,0,0,1.74
69f14c682a818019f0033dd6,EGFR_00030,EGFR,CC(=O)Nc1ccccc1CC(=O)CN,0.62,-4.89,206.24,72.19,0.66,No,No,0,0,1.61
69f14c682a818019f0033dcf,EGFR_00024,EGFR,CC1=CC=CC(=O)c2ccccc2C(=O)N1,0.57,-6.26,213.23,46.17,1.77,Yes,No,0,0,3.17
