entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fc99926bb9eb2523055178,IDH1_IDH2_00000,IDH1,CC(=C(CBr)OCCN(C)c1cccc(F)c1)C(CBr)OC(=O)Nc1cc(CBr)ccc1C,1.99,-7.49,651.2,50.8,6,No,Yes,0,2,4.55
69fc99926bb9eb2523055180,IDH1_IDH2_00000,IDH1,CCCCOc1cc(NC(=O)OCc2cccc(Br)c2)ccc1NS(=O)(=O)[Si](C)(C)C(C)(C)C,1.48,-6.1,571.6,102.11,5.4,No,Yes,0,1,4.3
69fc99926bb9eb252305517f,IDH1_IDH2_00000,IDH1,O=C(C[NH+](CCCl)c1ccccc1)N(CO)CCCCl,1.09,-6.86,320.23,44.98,1.44,Yes,No,0,2,2.57
69fc99926bb9eb2523055164,IDH1_IDH2_00000,IDH1,COc1cc(NC(=O)OCc2cccc(Br)c2)ccc1NS(=O)(=O)[Si](C)(C)C(C)(C)C,1.02,-5.61,529.52,102.11,4.4,No,Yes,0,1,3.91
69fc99926bb9eb2523055163,IDH1_IDH2_00000,IDH1,C=CC(=O)NC(=O)c1ccc(C#Cc2cccc(Cl)n2)c(NC(C)=O)c1,0.97,-5.98,367.79,88.16,2.67,No,No,0,3,2.88
69fc99926bb9eb252305516d,IDH1_IDH2_00000,IDH1,CON=C(OCc1cc(Cl)no1)C1=CSN(CCCCl)C(N)=N1,0.53,-7.08,380.25,123.77,1.91,No,No,0,5,4
69fc99926bb9eb2523055169,IDH1_IDH2_00000,IDH1,CCOc1ccc(COC(=O)N2CCC[C@@H]2CNC(=O)CO)cc1,0.51,-7.3,336.38,88.1,1.35,No,Yes,0,0,3.14
69fc99926bb9eb2523055166,IDH1_IDH2_00000,IDH1,CCCCC(=O)CNC(=O)C(O)c1ccccc1N(C)C,0.39,-7.91,292.37,69.64,1.65,Yes,No,0,0,2.66
69fc99926bb9eb2523055165,IDH1_IDH2_00000,IDH1,NC(=O)[C@@H](Cc1ccccc1)N[C@@H]1[CH]CCCC1,0.28,-7.47,245.34,55.12,1.75,Yes,Yes,0,0,2.52
69fc99926bb9eb252305516f,IDH1_IDH2_00000,IDH1,CN(C)C(CCN1CCCCO1)CNC1C=[NH+]C(Cl)=NC(Cl)=N1,0.16,-7.29,364.29,66.43,1.7,No,Yes,0,1,5.15
69fc99926bb9eb252305516e,IDH1_IDH2_00000,IDH1,CCCC(=O)[C@H](CSC)NC(=O)OC(C)(C)C,0.11,-5.58,261.38,80.7,2.29,No,No,0,0,3.29
69fc99926bb9eb2523055168,IDH1_IDH2_00000,IDH1,CCCCCCCCCCCOc1ccc(C(=O)c2cc(Cl)nnc2C(N)=O)cc1,0,,,,,,,,,
69fc99926bb9eb252305517b,IDH1_IDH2_00000,IDH1,CCCCCNc1ccc(C(=O)NC(C)(C)CCCl)c(O)c1,-0.05,,,,,,,,,
69fc99926bb9eb252305516c,IDH1_IDH2_00000,IDH1,CC(=N)NC(=S)NC(=O)S1=CSC(c2nc(N)c3ccccc3n2)=C1,-0.15,,,,,,,,,
69fc99926bb9eb252305517d,IDH1_IDH2_00000,IDH1,CCCCNc1ccc(C(=O)NC(C)(C)CCCl)c(O)c1,-0.18,,,,,,,,,
