entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fc99f39610ec4333efca7a,VEGF_VEGFR_00000,VEGF,CC(C)(C)OC(=O)Nc1ccc(C#CC(CCN[SH](=O)=O)NC(=O)c2ccccc2)s1,1.46,-7.31,463.57,180.64,2.4,No,Yes,0,2,4.46
69fc99f39610ec4333efca62,VEGF_VEGFR_00000,VEGF,CCCCCCCCCCSc1ccccc1S(=O)(=O)c1ccc(O)cc1,1.19,-5.78,406.6,88.05,5.97,No,Yes,0,0,3.66
69fc99f39610ec4333efca69,VEGF_VEGFR_00000,VEGF,C=C(Nc1ccccc1C(=O)Nc1ccccc1)c1ccc(C(F)(F)F)cc1,1.06,-7.84,382.38,41.13,5.24,No,Yes,0,0,2.81
69fc99f39610ec4333efca6b,VEGF_VEGFR_00000,VEGF,CCCC(CC(=O)OC(C)(C)C)c1ccc(Oc2cc(C(F)(F)F)nc(Cl)n2)cc1,1.03,-7.63,444.88,61.31,5.8,No,No,0,0,3.73
69fc99f39610ec4333efca66,VEGF_VEGFR_00000,VEGF,C=C(C)COC(=O)NC(=Cc1ccc(O[Si](C)(C)C(C)(C)C)c(F)c1)OC,0.81,-4.37,395.54,56.79,4.61,No,Yes,0,3,4.13
69fc99f39610ec4333efca73,VEGF_VEGFR_00000,VEGF,Cc1ccccc1NC(=O)NNC(=O)C1=CC(I)=CC=CS1,0.63,-4.34,427.26,95.53,2.76,No,No,0,1,3.55
69fc99f39610ec4333efca74,VEGF_VEGFR_00000,VEGF,OCCCCCCO,0.58,-3.95,118.17,40.46,0.77,Yes,No,0,0,1.1
69fc99f39610ec4333efca77,VEGF_VEGFR_00000,VEGF,O=S(O)/N=C/c1ccc(Br)s1,0.55,-4.63,254.12,97.11,1.85,No,No,0,2,3.16
69fc99f39610ec4333efca67,VEGF_VEGFR_00000,VEGF,CCOPC(C)=CNNc1ccc(O[Si](C)(C)C(C)(C)C)c(C)c1C=C(C)COC(=O)NC(=Cc1ccc(O[Si](C)(C)C(C)(C)C)c(F)c1)OC,0.43,,762.05,112.9,8.06,No,No,0,3,6.72
69fc99f39610ec4333efca63,VEGF_VEGFR_00000,VEGF,C[Si](C#N)(C#N)C#N,0.26,-3.08,121.17,71.37,-0.07,No,No,0,1,3.69
69fc99f39610ec4333efca76,VEGF_VEGFR_00000,VEGF,C=CCN(NCc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)c(Br)n1,0.1,-7.55,436.32,54.46,4.61,Yes,No,0,2,3.48
69fc99f39610ec4333efca7b,VEGF_VEGFR_00000,VEGF,CC(=O)CC(C=O)NC(=O)Nc1ccc(N2C=CN=c3ccccc3=N2)o1,0.03,-0.47,367.36,116.37,0.69,No,No,0,1,4.67
69fc99f39610ec4333efca75,VEGF_VEGFR_00000,VEGF,CO[C@@H](CN)OC1CCCC1,-0.01,,,,,,,,,
69fc99f39610ec4333efca79,VEGF_VEGFR_00000,VEGF,O=[SH](=O)Cl,-0.21,,,,,,,,,
69fc99f39610ec4333efca72,VEGF_VEGFR_00000,VEGF,CCCC(=O)Nc1ccc(C(=O)OC)c(Cl)c1,-0.39,,,,,,,,,
69fc99f39610ec4333efca6d,VEGF_VEGFR_00000,VEGF,OCCN=C(CCOc1ccccc1)c1ccc(OC(F)(F)F)cn1,-0.41,,,,,,,,,
69fc99f39610ec4333efca6f,VEGF_VEGFR_00000,VEGF,CC(C)(C)OC(=O)Nc1ccc(NNC=O)cc1F,-0.43,,,,,,,,,
69fc99f39610ec4333efca78,VEGF_VEGFR_00000,VEGF,Cc1ccc(S(=O)(=O)C(O)c2ccccc2)c(Cl)c1,-0.56,,,,,,,,,
69fc99f39610ec4333efca70,VEGF_VEGFR_00000,VEGF,C[C@@H](CO)C(=O)N=[N+]c1ccccc1,-0.58,,,,,,,,,
69fc99f39610ec4333efca6c,VEGF_VEGFR_00000,VEGF,CCCC(CC(=O)[Si](C)(C)C#N)c1ccc(C(F)(F)F)cc1,-0.6,,,,,,,,,
69fc99f39610ec4333efca68,VEGF_VEGFR_00000,VEGF,CCCC[C@@H]1CCN(CC(=O)OCc2ccccc2)N1,-0.63,,,,,,,,,
69fc99f39610ec4333efca6a,VEGF_VEGFR_00000,VEGF,CCCCC(=O)N(CCNC(=O)Cc1ccc(Cl)cc1)C(=O)OC(C)(C)C,-0.65,,,,,,,,,
69fc99f39610ec4333efca65,VEGF_VEGFR_00000,VEGF,O=C(O)CCN(Cc1ccccc1)Cc1cscn1,-0.75,,,,,,,,,
69fc99f39610ec4333efca6e,VEGF_VEGFR_00000,VEGF,O=C(CN(CI)c1cc(C(F)(F)F)cc(Cl)n1)NCc1ccccn1,-0.76,,,,,,,,,
69fc99f39610ec4333efca64,VEGF_VEGFR_00000,VEGF,O=C(OCCN(Cc1ccccc1)C(=O)O)c1cscn1,-0.81,,,,,,,,,
69fc99f39610ec4333efca71,VEGF_VEGFR_00000,VEGF,C[C@@H](COC(=O)N=N)C(=O)N=[N+]c1ccccc1,-1.01,,,,,,,,,
