entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fdc4b92a818019f0274d01,osimertinib_mono_F_7,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(F)ccc34)n2)c(OC)cc1N(C)CCN(C)C,3.97,-6.69,517.6,87.55,3.65,No,Yes,0,1,4.08
69fdc4b92a818019f0274d03,osimertinib_mono_Me_7,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(C)ccc34)n2)c(OC)cc1N(C)CCN(C)C,3.96,-7.84,513.63,87.55,3.64,No,Yes,0,1,4.14
69fdc4b92a818019f0274d2e,osimertinib_mono_F_6,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,3.96,-8.02,517.6,87.55,3.6,No,Yes,0,1,4.07
69fdc4b92a818019f0274cff,osimertinib_base,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.95,-7.36,499.61,87.55,3.24,No,Yes,0,1,4.01
69fdc4b92a818019f0274d22,osimertinib_di_F_2_19,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c(F)n(C)c4ccccc34)n2)c(OC)c(F)c1N(C)CCN(C)C,3.95,-7.92,535.59,87.55,4.09,No,Yes,0,1,4.13
69fdc4b92a818019f0274d06,osimertinib_mono_Me_8,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(C)cccc34)n2)c(OC)cc1N(C)CCN(C)C,3.94,-8.16,513.63,87.55,3.65,No,Yes,0,1,4.14
69fdc4b92a818019f0274d29,osimertinib_di_Me_5_7,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(C)cc(C)c34)n2)c(OC)cc1N(C)CCN(C)C,3.94,-7.57,527.66,87.55,4.01,No,Yes,0,1,4.3
69fdc4b92a818019f0274d2a,osimertinib_di_F_5_8,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)ccc(F)c34)n2)c(OC)cc1N(C)CCN(C)C,3.94,-8.09,535.59,87.55,3.9,No,Yes,0,1,4.16
69fdc4b92a818019f0274d1a,osimertinib_di_Me_2_7,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c(C)n(C)c4cc(C)ccc34)n2)c(OC)cc1N(C)CCN(C)C,3.94,-8.28,527.66,87.55,3.95,No,Yes,0,1,4.29
69fdc4b92a818019f0274d0e,osimertinib_mono_F_19,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)c(F)c1N(C)CCN(C)C,3.94,-7.89,517.6,87.55,3.64,No,Yes,0,1,4.05
69fdc4b92a818019f0274d16,osimertinib_mono_Me_2,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c(C)n(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.93,-7.09,513.63,87.55,3.73,No,Yes,0,1,4.16
69fdc4b92a818019f0274d26,osimertinib_di_F_5_6,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)c(F)c34)n2)c(OC)cc1N(C)CCN(C)C,3.93,-8.13,535.59,87.55,3.82,No,Yes,0,1,4.17
69fdc4b92a818019f0274d1b,osimertinib_di_F_2_8,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c(F)n(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C,3.92,-8.11,535.59,87.55,4.07,No,Yes,0,1,4.16
69fdc4b92a818019f0274d18,osimertinib_di_Me_2_6,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c(C)n(C)c4ccc(C)cc34)n2)c(OC)cc1N(C)CCN(C)C,3.92,-7.27,527.66,87.55,3.93,No,Yes,0,1,4.29
69fdc4b92a818019f0274d30,osimertinib_mono_Me_6,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(C)cc34)n2)c(OC)cc1N(C)CCN(C)C,3.92,-6.61,513.63,87.55,3.6,No,Yes,0,1,4.14
69fdc4b92a818019f0274d0a,osimertinib_mono_F_15,EGFR,C=CC(=O)Nc1cc(Nc2ncc(F)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.92,-8.09,517.6,87.55,3.68,No,Yes,0,1,4.02
