entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fdc5092a818019f0274eef,vorasidenib_mono_OEt_17,IDH1,CCOc1cc(Cl)nc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)c1,2.5,-8.81,458.79,84.85,4.53,No,No,0,1,3.83
69fdc5092a818019f0274ec3,vorasidenib_mono_OEt_18,IDH1,CCOc1ccc(Cl)nc1-c1nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n1,2.43,-8.39,458.79,84.85,4.49,No,No,0,1,3.91
69fdc5092a818019f0274ec2,vorasidenib_mono_OMe_18,IDH1,COc1ccc(Cl)nc1-c1nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n1,2.32,-9.05,444.76,84.85,4.21,No,No,0,1,3.76
69fdc5092a818019f0274ec7,vorasidenib_di_Me_16_18,IDH1,Cc1cc(C)c(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)nc1Cl,2.28,-8.91,442.79,75.62,4.88,No,No,0,1,3.74
69fdc5092a818019f0274ee1,vorasidenib_mono_OEt_16,IDH1,CCOc1ccc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)nc1Cl,2.27,-7.88,458.79,84.85,4.53,No,No,0,1,3.86
69fdc5092a818019f0274ec9,vorasidenib_di_Me_17_18,IDH1,Cc1cc(Cl)nc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)c1C,2.16,-9.31,442.79,75.62,4.87,No,No,0,1,3.78
69fdc5092a818019f0274eee,vorasidenib_mono_OMe_17,IDH1,COc1cc(Cl)nc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)c1,2.14,-8.35,444.76,84.85,4.19,No,No,0,1,3.71
69fdc5092a818019f0274eed,vorasidenib_mono_Me_17,IDH1,Cc1cc(Cl)nc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)c1,2.13,-9.22,428.76,75.62,4.55,No,No,0,1,3.64
69fdc5092a818019f0274ec5,vorasidenib_di_Me_16_17,IDH1,Cc1cc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)nc(Cl)c1C,2.13,-8.82,442.79,75.62,4.86,No,No,0,1,3.74
69fdc5092a818019f0274ed6,vorasidenib_mono_OMe_16,IDH1,COc1ccc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)nc1Cl,2.12,-8.53,444.76,84.85,4.2,No,No,0,1,3.71
69fdc5092a818019f0274ec4,vorasidenib_di_F_16_17,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cc(F)c(F)c(Cl)n2)n1)C(F)(F)F,2.09,-8.64,450.72,75.62,4.82,No,No,0,1,3.78
69fdc5092a818019f0274eec,vorasidenib_mono_F_17,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cc(F)cc(Cl)n2)n1)C(F)(F)F,2.08,-9.08,432.73,75.62,4.51,No,No,0,1,3.69
69fdc5092a818019f0274ec8,vorasidenib_di_F_17_18,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2nc(Cl)cc(F)c2F)n1)C(F)(F)F,2.08,-9.4,450.72,75.62,4.77,No,No,0,1,3.79
69fdc5092a818019f0274ebf,vorasidenib_base,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,2.06,-9,414.74,75.62,4.19,No,No,0,1,3.48
69fdc5092a818019f0274ecb,vorasidenib_mono_Me_16,IDH1,Cc1ccc(-c2nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n2)nc1Cl,2.06,-8.75,428.76,75.62,4.53,No,No,0,1,3.59
69fdc5092a818019f0274ec6,vorasidenib_di_F_16_18,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2nc(Cl)c(F)cc2F)n1)C(F)(F)F,2.05,-9.11,450.72,75.62,4.83,No,No,0,1,3.68
69fdc5092a818019f0274ef0,vorasidenib_mono_F_18,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2nc(Cl)ccc2F)n1)C(F)(F)F,1.98,-8.89,432.73,75.62,4.49,No,No,0,1,3.61
69fdc5092a818019f0274ec0,vorasidenib_mono_F_16,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2ccc(F)c(Cl)n2)n1)C(F)(F)F,1.97,-9.19,432.73,75.62,4.52,No,No,0,1,3.6
69fdc5092a818019f0274ec1,vorasidenib_mono_Me_18,IDH1,Cc1ccc(Cl)nc1-c1nc(N[C@H](C)C(F)(F)F)nc(N[C@H](C)C(F)(F)F)n1,1.94,-8.72,428.76,75.62,4.5,No,No,0,1,3.63
69fdc5092a818019f0274eca,vorasidenib_Nwalk,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2ccnc(Cl)n2)n1)C(F)(F)F,1.91,-9,415.72,88.51,3.68,No,No,0,0,3.53
69fdc5092a818019f0274ecd,vorasidenib_Nwalk,IDH1,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2nccc(Cl)n2)n1)C(F)(F)F,1.9,-8.61,415.72,88.51,3.7,No,No,0,0,3.54
