entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fcd9812a818019f02548fe,EGFR_00016,EGFR,CC(C)(C)OC(=O)N1CCC(CC(=O)Nc2ccc3c(c2)N(C(=O)OC(C)(C)C)C=CC3C(=O)Nc2ccc3c(ccn3C(=O)OC(C)(C)C)c2)CC1,1.89,-7.28,729.86,148.51,5.34,No,Yes,0,1,6.39
69fcd9812a818019f0254904,EGFR_00022,EGFR,Cc1cc(C)cc(C)c1,1.08,-4.6,120.19,0,3.16,Yes,No,0,0,1
69fcd9812a818019f02548f6,EGFR_00000,EGFR,[O-][n+]1ccccc1-c1ccccc1,0.96,-5.57,171.2,25.46,1.82,Yes,No,0,2,2.01
69fcd9812a818019f0254900,EGFR_00019,EGFR,CC(C)(C)OC(=O)N1CCC(CO)CC1,0.94,-4.9,215.29,49.77,1.43,Yes,No,0,0,2.12
69fcd9812a818019f0254905,EGFR_00023,EGFR,Cc1ccc(C)cc1,0.75,-3.99,106.17,0,2.85,Yes,No,0,0,1
69fcd9812a818019f0254906,EGFR_00024,EGFR,Cc1cccc(C)c1,0.75,-4.12,106.17,0,2.86,Yes,No,0,0,1
69fcd9812a818019f025491b,EGFR_00009,EGFR,O=C(c1ccc(N2C(=O)CCCC2=O)cc1)N1CCCC1,0.64,-5.79,286.33,57.69,1.68,Yes,No,0,1,1.66
69fcd9812a818019f02548fc,EGFR_00014,EGFR,Cn1c(=O)c(-c2ccccc2)cc2c3cc(-c4ccccc4C(F)(F)F)ccc3n(C)c21,0.6,-10.33,432.44,26.93,5.79,No,Yes,0,0,3.1
69fcd9812a818019f025490c,EGFR_00031,EGFR,CN1CCC(N(C)c2ccccc2)CC1,0.5,-5.49,204.31,6.48,2.22,Yes,No,0,0,1.45
69fcd9812a818019f025490b,EGFR_00030,EGFR,CN1CCC(N(C)c2ccccc2)CC1,0.48,-5.32,204.31,6.48,2.22,Yes,No,0,0,1.45
69fcd9812a818019f0254915,EGFR_00041,EGFR,[CH2+]C(c1ccccc1)c1ccccc1,0.43,-6.52,181.25,0,3.88,Yes,No,0,1,1.19
69fcd9812a818019f0254901,EGFR_00020,EGFR,CC(C)(C)OC(=O)N1CCC(COc2ccc3cc(-c4ccc5cc(-c6ccccc6)ccc5c4)ccc3c2)CC1,0.38,-7.6,543.69,38.77,7.61,No,Yes,0,0,3.73
69fcd9812a818019f02548f7,EGFR_00001,EGFR,CC(C)(C)c1ccc(-c2ccc(-c3nc(-c4ccc(C(C)(C)C)cc4)nc(-c4ccc(C(C)(C)C)cc4)n3)cc2)cc1,0.35,-1.03,553.78,38.67,9.38,No,Yes,0,0,4.07
69fcd9812a818019f02548fb,EGFR_00013,EGFR,Cn1c(=O)c(-c2ccccc2)cc2c3cc(-c4cccc(C(F)(F)F)c4)ccc3n(C)c21,0.35,-8.22,432.44,26.93,5.87,No,Yes,0,0,3.07
69fcd9812a818019f0254911,EGFR_00035,EGFR,COc1ccc(-c2ccc(S(=O)(=O)NC(C)C)cn2)cc1C(=O)Nc1ccccc1,0.31,-7.79,425.5,105.77,2.97,No,No,0,0,3.21
69fcd9812a818019f025490d,EGFR_00003,EGFR,CC(C)(C)c1ccc(-c2ccc(-c3nc(-c4ccc(C(C)(C)C)cc4)nc(-c4ccccc4C(C)(C)C)n3)cc2)cc1,0.25,,553.78,38.67,9.32,No,Yes,0,0,4.28
69fcd9812a818019f0254902,EGFR_00002,EGFR,CC(C)(C)c1ccc(-c2ccc(-c3nc(-c4ccc(C(C)(C)C)cc4)nc(-c4ccccc4C(C)(C)C)n3)cc2)cc1,0.25,-8,553.78,38.67,9.32,No,Yes,0,0,4.28
69fcd9812a818019f025490a,EGFR_00029,EGFR,O=C(O)c1ccc(F)c(F)c1Nc1ccccc1F,0.01,-6.49,267.2,49.33,3.39,Yes,No,0,0,2.23
69fcd9812a818019f0254907,EGFR_00025,EGFR,Cc1ccccc1,-0.01,,,,,,,,,
69fcd9812a818019f02548ff,EGFR_00018,EGFR,c1ccc(-c2ccc3cc(-c4cccc(-c5ccc6cc(-c7ccccc7)ccc6c5)c4)ccc3c2)cc1,-0.03,,,,,,,,,
