entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fcda2a4348e0a494d3fb45,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCCCCCCC1,2.89,-10.19,339.47,42.23,4.86,No,No,0,0,3.45
69fcda2a4348e0a494d3fb44,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCCCCCC1,2.77,-9.9,325.44,42.23,4.5,Yes,No,0,0,3.34
69fcda2a4348e0a494d3fb43,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCCCCC1,2.41,-9.48,311.42,42.23,4.25,Yes,No,0,0,2.77
69fcda2a4348e0a494d3fb42,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCCCC1,1.9,-9.24,297.39,42.23,3.86,Yes,Yes,0,0,2.66
69fcda2a4348e0a494d3fb3d,llasmol_20260507_140225,IDH1,CC(C)c1ccccc1CC(C)c1ccccc1C(C)C,1.73,-7.98,280.45,0,6.05,No,Yes,0,0,2.66
69fcda2a4348e0a494d3fb41,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCCC1,1.72,-9.02,283.36,42.23,3.64,Yes,Yes,0,0,2.55
69fcda2a4348e0a494d3fb4e,llasmol_20260507_140225,IDH1,Cn1cc(Br)c(NC(=O)c2cc(F)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,1.35,-9.01,509.39,101.47,3.96,No,No,0,0,3.25
69fcda2a4348e0a494d3fb40,llasmol_20260507_140225,IDH1,Cc1c(C(=O)O)cc(-c2ccccc2)n1C1CCCC1,1.34,-8.63,269.34,42.23,3.29,Yes,Yes,0,0,2.44
69fcda2a4348e0a494d3fb46,llasmol_20260507_140225,IDH1,CC(C)C(=O)Nc1ccc(-c2ccc(-c3cc4c(cc3-c3ccc(F)cc3)C(c3ccc(F)cc3)c3c(-c5ccc(F)cc5)cccc3C(C)(C)O4)cc2)cc1,1.32,48.18,743.85,38.33,11.09,No,Yes,0,0,5.89
69fcda2a4348e0a494d3fb50,llasmol_20260507_140225,IDH1,Cn1cc(Cl)c(NC(=O)c2cc(F)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,1.22,-8.39,464.94,101.47,3.88,No,No,0,0,3.23
69fcda2a4348e0a494d3fb60,llasmol_supplement,IDH1,CCC(C)c1ccccc1NCC(=O)O,0.92,-6.61,207.27,49.33,1.97,Yes,No,0,0,2.16
69fcda2a4348e0a494d3fb48,llasmol_20260507_140225,IDH1,Cc1nc(NCc2ccc(C(F)(F)F)cc2)c2cc(-c3ccccc3)ccc2n1,0.86,-11.17,393.4,37.81,5.61,No,Yes,0,0,2.64
69fcda2a4348e0a494d3fb5e,llasmol_supplement,IDH1,CCC(C)c1ccccc1NCC(=O)O,0.8,-6.61,207.27,49.33,1.97,Yes,No,0,0,2.16
69fcda2a4348e0a494d3fb61,llasmol_supplement,IDH1,CCC(C)c1ccccc1NCC(=O)O,0.76,-6.46,207.27,49.33,1.97,Yes,No,0,0,2.16
69fcda2a4348e0a494d3fb4f,llasmol_20260507_140225,IDH1,Cn1cc(-c2ccc(F)cc2)c(NC(=O)c2cc(F)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,0.73,-7.34,524.58,101.47,4.87,No,No,0,0,3.77
69fcda2a4348e0a494d3fb3e,llasmol_20260507_140225,IDH1,CC(C)c1ccccc1,0.6,-5.67,120.19,0,3.14,Yes,No,0,0,1
69fcda2a4348e0a494d3fb5c,llasmol_supplement,IDH1,[Cu],0.6,-1.06,63.55,0,3.14,Yes,No,0,0,1
69fcda2a4348e0a494d3fb63,llasmol_20260507_140225,IDH1,C[C@@H](O)[C@H]1CC[C@@H]2C3=CC=C4C[C@@H](O)[C@@H]5O[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,0.33,-8.96,330.46,52.99,3.11,Yes,Yes,0,1,5.87
