entity_id,mol_id,library_name,smiles,drugclip_score,vina_docking_score,MW,TPSA,Consensus Log P,BBB permeant,Pgp substrate,PAINS #alerts,Brenk #alerts,Synthetic Accessibility
69fcda689610ec4333f0d3aa,VEGF_VEGFR_00024,VEGF,C[C@H](Nc1ccc(C(F)(F)F)cc1C(N)=O)c1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1,2.06,15.43,463.4,84.22,4.95,No,Yes,0,0,3.21
69fcda689610ec4333f0d3a9,VEGF_VEGFR_00018,VEGF,Fc1cc(-c2cc(C3CC3)n3ncc(C4CC4)c3n2)ccc1N1CCN(Cc2ccccc2)CC1,1.38,16.98,467.58,36.67,4.89,Yes,Yes,0,0,3.79
69fcda689610ec4333f0d3a8,VEGF_VEGFR_00017,VEGF,c1ccc(CN2CCN(c3ccc(-c4cc(C5CC5)n5ncc(C6CC6)c5n4)cc3)CC2)cc1,1.25,-0.76,449.59,36.67,4.6,Yes,Yes,0,0,3.75
69fcda689610ec4333f0d3b0,VEGF_VEGFR_00029,VEGF,NC(=O)c1cc(C(F)(F)F)ccc1N,1.09,-6.57,204.15,69.11,1.62,Yes,No,0,1,1.32
69fcda689610ec4333f0d3ae,VEGF_VEGFR_00027,VEGF,NC(=O)c1ccc(N)c(F)c1,1.04,-5.91,154.14,69.11,0.85,No,No,0,1,1
69fcda689610ec4333f0d3ac,VEGF_VEGFR_00026,VEGF,NC(=O)c1ccc(F)c(NC(=O)c2ccc(C(F)(F)F)cc2)c1,0.97,-6.79,326.25,72.19,3.18,Yes,No,0,0,2.11
69fcda689610ec4333f0d3a4,VEGF_VEGFR_00012,VEGF,O=C1CC(Cc2ccc(CN3CCC(Cc4ccccc4)CC3)cc2)CCCN1Cc1ccc(CN2CCC(Cc3ccccc3)CC2)cc1,0.95,,667.96,26.79,7.78,No,No,0,0,5.35
69fcda689610ec4333f0d3ab,VEGF_VEGFR_00025,VEGF,NC(=O)c1ccc(F)c(N)c1,0.9,-5.62,154.14,69.11,0.83,No,No,0,1,1.07
69fcda689610ec4333f0d3b2,VEGF_VEGFR_00031,VEGF,Nc1ccc(F)c(F)c1C(=O)O,0.72,-5.82,173.12,63.32,1.25,Yes,No,0,1,1.23
69fcda689610ec4333f0d3af,VEGF_VEGFR_00028,VEGF,Nc1ccc(C(F)(F)F)cc1C(=O)O,0.69,-2.92,205.13,63.32,1.84,Yes,No,0,1,1.34
69fcda689610ec4333f0d3b5,VEGF_VEGFR_00034,VEGF,CC(C)c1ccc(C(=O)Nc2ccc(C(=O)O)cc2Cl)cc1,0.55,15.7,317.77,66.4,3.69,Yes,No,0,0,1.95
69fcda689610ec4333f0d3b1,VEGF_VEGFR_00030,VEGF,Nc1ccc(F)c(C(=O)O)c1,0.51,-5.28,155.13,63.32,0.96,Yes,No,0,1,1.08
69fcda689610ec4333f0d3a5,VEGF_VEGFR_00014,VEGF,[Cu+2],0.45,-0.71,63.55,0,0.96,Yes,No,0,1,1.08
69fcda689610ec4333f0d3bf,VEGF_VEGFR_00007,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)OC1CC2CCC1C2,0.45,-7.27,417.42,55.4,5.2,No,Yes,0,0,4.69
69fcda689610ec4333f0d3b7,VEGF_VEGFR_00036,VEGF,c1ccc(-c2nc(-c3ccccc3)c3c(-c4ccccc4)nc(-c4ccc(-n5c6ccccc6c6cc7ccccc7cc65)cc4)nc3n2)cc1,0.41,16.32,651.76,56.49,9.12,No,No,0,0,4
69fcda689610ec4333f0d3b4,VEGF_VEGFR_00033,VEGF,CC(C)c1ccc(C(=O)Nc2ccc(C(=O)O)c(Cl)c2)cc1,0.41,9.85,317.77,66.4,3.77,Yes,No,0,0,1.94
69fcda689610ec4333f0d3bd,VEGF_VEGFR_00005,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)OCC(C)C,0.4,65.68,379.37,55.4,4.95,No,No,0,0,2.82
69fcda689610ec4333f0d3b9,VEGF_VEGFR_00037,VEGF,c1ccc(-c2nc(-c3ccccc3)c3c(-c4ccccc4)nc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)nc3n2)cc1,0.35,16.66,601.7,56.49,8.27,No,No,0,0,3.76
69fcda689610ec4333f0d3c0,VEGF_VEGFR_00008,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)OCC1CCO1,0.29,-6.17,393.36,64.63,4.09,No,No,0,0,3.41
69fcda689610ec4333f0d3be,VEGF_VEGFR_00006,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)OC1CC2C=CC1C2,0.27,5.23,415.41,55.4,4.95,No,No,0,1,5.01
69fcda689610ec4333f0d3a6,VEGF_VEGFR_00015,VEGF,[O-]c1ccccc1,0.26,-4.33,93.1,23.06,1.5,Yes,No,0,0,1
69fcda689610ec4333f0d3b6,VEGF_VEGFR_00035,VEGF,Cc1ccc(C(=O)Nc2ccc(C(=O)O)cc2Cl)cc1,0.2,5.22,289.71,66.4,3.07,Yes,No,0,0,1.77
69fcda689610ec4333f0d3c1,VEGF_VEGFR_00009,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)OCC1COC1,0.1,-5.09,393.36,64.63,3.98,Yes,No,0,0,2.83
69fcda689610ec4333f0d3a7,VEGF_VEGFR_00016,VEGF,c1ccc(Cc2cnn3c(C4CC4)cc(-c4ccc(N5CCNCC5)cc4)nc23)cc1,0.08,-0.06,409.53,45.46,3.83,Yes,Yes,0,0,3.54
69fcda689610ec4333f0d3b3,VEGF_VEGFR_00032,VEGF,CC(C)c1ccc(C(=O)Nc2c(Cl)cc(Cl)c(C(=O)O)c2Cl)cc1,-0.17,,,,,,,,,
69fcda689610ec4333f0d3a2,VEGF_VEGFR_00002,VEGF,FC(F)(F)c1cccc(-c2ccnc(N3CCNCC3)n2)c1,-0.27,,,,,,,,,
69fcda689610ec4333f0d3ad,VEGF_VEGFR_00003,VEGF,Fc1cccc(-c2ccnc(N3CCNCC3)n2)c1,-0.4,,,,,,,,,
69fcda689610ec4333f0d3b8,VEGF_VEGFR_00004,VEGF,CC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)O,-0.41,,,,,,,,,
69fcda689610ec4333f0d3a3,VEGF_VEGFR_00011,VEGF,CN1CCC(Cc2cccc(CN)c2)CC1,-0.43,,,,,,,,,
69fcda689610ec4333f0d3c2,VEGF_VEGFR_00010,VEGF,CC=O,-0.44,,,,,,,,,
69fcda689610ec4333f0d3a1,VEGF_VEGFR_00001,VEGF,c1ccc(-c2ccnc(N3CCNCC3)n2)cc1,-0.51,,,,,,,,,
69fcda689610ec4333f0d3ba,VEGF_VEGFR_00038,VEGF,Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C1CCC(C(C)(C)C)CC1,-0.84,,,,,,,,,
69fcda689610ec4333f0d3bb,VEGF_VEGFR_00039,VEGF,Cc1nc(-c2ccccc2)c(-c2ccncc2)n1C1CCC(C(C)(C)C)CC1,-0.93,,,,,,,,,
69fcda689610ec4333f0d3bc,VEGF_VEGFR_00040,VEGF,CC(C)(C)C1CCC(n2c(CO)nc(-c3ccc(F)cc3)c2-c2ccncc2)CC1,-0.98,,,,,,,,,
